,PM2.5,PM10
2026-03-19 11:00:00,28.24,44.61
2026-03-19 12:00:00,23.88,47.63
2026-03-19 13:00:00,23.47,51.45
2026-03-19 14:00:00,28.62,119.34
2026-03-19 15:00:00,38.95,122.37
2026-03-19 16:00:00,53.22,111.72
2026-03-19 17:00:00,47.59,108.68
2026-03-19 18:00:00,47.83,113.3
2026-03-19 19:00:00,58.97,104.15
2026-03-19 20:00:00,48.88,109.54
2026-03-19 21:00:00,48.47,107.82
2026-03-19 22:00:00,49.02,110.81
2026-03-19 23:00:00,52.83,133.02
2026-03-20 00:00:00,52.11,123.08
2026-03-20 01:00:00,46.06,122.19
2026-03-20 02:00:00,55.87,111.27
2026-03-20 03:00:00,82.37,102.48
2026-03-20 04:00:00,84.12,184.1
2026-03-20 05:00:00,73.3,94.38
2026-03-20 06:00:00,53.86,136.8
2026-03-20 07:00:00,39.39,95.53
2026-03-20 08:00:00,38.19,91.19
2026-03-20 09:00:00,40.96,90.4
2026-03-20 10:00:00,40.83,48.04
2026-03-20 11:00:00,39.77,108.16
2026-03-20 12:00:00,44.64,137.89
2026-03-20 13:00:00,38.29,143.08
2026-03-20 14:00:00,41.57,100.86
2026-03-20 15:00:00,37.89,42.34
2026-03-20 16:00:00,20.81,35.16
2026-03-20 17:00:00,11.17,44.64
2026-03-20 18:00:00,13.55,44.66
2026-03-20 19:00:00,13.33,43.78
2026-03-20 20:00:00,14.87,38.21
2026-03-20 21:00:00,18.95,32.88
2026-03-20 22:00:00,15.76,55.95
2026-03-20 23:00:00,21.72,48.53
2026-03-21 00:00:00,20.98,54.63
2026-03-21 01:00:00,25.42,25.42
2026-03-21 02:00:00,30.21,52.11
2026-03-21 03:00:00,33.21,33.21
2026-03-21 04:00:00,37.57,40.97
2026-03-21 05:00:00,34.91,42.83
2026-03-21 06:00:00,34.52,37.68
2026-03-21 07:00:00,34.54,39.49
2026-03-21 08:00:00,25.55,39.47
2026-03-21 09:00:00,37.61,39.76
2026-03-21 10:00:00,41.48,41.48
2026-03-21 11:00:00,37.57,37.57
2026-03-21 12:00:00,18.22,18.22
2026-03-21 13:00:00,16.39,16.39
2026-03-21 14:00:00,20.79,20.79
2026-03-21 15:00:00,30.95,30.95
2026-03-21 16:00:00,42.91,42.91
2026-03-21 17:00:00,40.27,40.27
2026-03-21 18:00:00,35.05,35.05
2026-03-21 19:00:00,39.49,39.49
2026-03-21 20:00:00,42.32,42.32
2026-03-21 21:00:00,30.03,44.49
2026-03-21 22:00:00,33.21,33.21
2026-03-21 23:00:00,31.21,33.53
2026-03-22 00:00:00,31.87,31.87
2026-03-22 01:00:00,38.09,38.09
2026-03-22 02:00:00,51.51,51.51
2026-03-22 03:00:00,43.02,43.02
2026-03-22 04:00:00,37.35,37.35
2026-03-22 05:00:00,37.03,37.03
2026-03-22 06:00:00,30.59,30.59
2026-03-22 07:00:00,25.6,25.6
2026-03-22 08:00:00,21.38,33.12
2026-03-22 09:00:00,21.44,34.13
2026-03-22 16:00:00,16.71,16.71
